,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
46,Kazakhstan,1274607,3653,13372,16,1166908,9927,94327,528,66607,699,11575012,604879,19136091,Asia,15,1431,2,191,0,4929
47,Ireland,1221082,3975,6228,,950492,48048,264362,76,242951,1239,11015471,2191676,5026048,Europe,4,807,0,791,,52598
48,Morocco,1147964,721,15617,24,1104090,,28257,293,30522,415,11237010,298772,37610616,Africa,33,2408,3,19,0,751
49,Slovakia,1127020,9965,17973,15,903463,3482,205584,268,206267,3289,5803851,1062222,5463876,Europe,5,304,1,1824,3,37626
50,Cuba,1054909,1349,8443,4,1039139,1341,7327,47,93227,746,12801333,1131305,11315548,North America,11,1340,1,119,0,648
51,S. Korea,1044963,35275,6886,13,654621,,383456,272,20354,134,15804065,307832,51339820,Asia,49,7456,3,687,0,7469
52,Bulgaria,1003448,8012,33946,176,707925,5782,261577,623,146175,4945,8707495,1268445,6864701,Europe,7,202,1,1167,26,38105
53,Croatia,985050,1270,14194,57,926278,8670,44578,185,242341,3492,4331339,1065590,4064735,Europe,4,286,1,312,14,10967
54,Lebanon,978125,6351,9730,19,682977,,285418,186,144341,1436,4795578,707677,6776510,Asia,7,696,1,937,3,42119
55,Nepal,967427,1022,11827,13,915489,6146,40111,100,32274,395,5283372,176259,29975015,Asia,31,2534,6,34,0,1338
56,Tunisia,945453,1278,26693,14,840783,9692,77977,200,78679,2221,4136016,344194,12016520,Africa,13,450,3,106,1,6489
57,Norway,911212,17652,1467,,88952,,820793,45,166004,267,9852076,1794848,5489087,Europe,6,3742,1,3216,,149532
58,Bolivia,872811,1062,21150,21,724828,4506,126833,220,73175,1773,2653186,222437,11927782,South America,14,564,4,89,2,10633
59,UAE,859361,1704,2265,1,786642,1992,70454,,85240,225,128621662,12758044,10081613,Asia,12,4451,0,169,0,6988
60,Slovenia,799955,5512,5990,15,606198,8399,187767,134,384706,2881,2527899,1215690,2079395,Europe,3,347,1,2651,7,90299
61,Belarus,783260,5869,6159,12,770567,5100,6534,,82934,652,11967413,1267151,9444347,Europe,12,1533,1,621,1,692
62,Ecuador,769149,,34739,,,,,759,42561,1922,2470170,136688,18071651,South America,23,520,7,,,16077
63,Lithuania,756206,6463,7999,11,636077,1028,112130,102,284130,3005,7423424,2789214,2661475,Europe,4,333,0,2428,4,42131
64,Costa Rica,733708,2746,7694,18,584051,1795,141963,128,141956,1489,3324431,643202,5168564,North America,7,672,2,531,3,27467
65,Uruguay,733010,6968,6656,19,663318,7181,63036,160,209851,1906,5387446,1542355,3493001,South America,5,525,1,1995,5,18046
66,Panama,727413,,7844,,678478,,41091,83,164446,1773,5313027,1201112,4423424,North America,6,564,1,,,9289
67,Saudi Arabia,712644,3747,8957,3,670780,4083,32907,1090,19973,251,38814099,1087802,35681216,Asia,50,3984,1,105,0,922
